vehicle_brand_name,year_of_manufacture,selling_price,current_market_price_for_new_model,kilometers_driven
Bajaj Pulsar NS 200,2013,500,990,45000
Yamaha Fazer ,2014,500,880,8000
Honda Activa 4G,2017,480,510,4300
TVS Sport ,2017,480,520,15000
Yamaha FZ S V 2.0,2015,480,840,23000
Honda Dream Yuga ,2017,480,540,8600
Honda Activa 4G,2017,450,510,4000
Bajaj Avenger Street 220,2011,450,950,24000
TVS Apache RTR 180,2014,450,826,23000
Bajaj Pulsar NS 200,2012,450,990,14500
Bajaj Avenger 220 dtsi,2010,450,950,27000
Hero Splender iSmart,2016,450,540,14000
Activa 3g,2016,450,540,500
Hero Passion Pro,2016,450,550,1000
TVS Apache RTR 160,2014,420,810,42000
Honda CB Trigger,2013,420,730,12000
Hero Splender iSmart,2015,400,540,14000
Yamaha FZ S ,2012,400,830,5500
Hero Passion Pro,2015,400,550,6700
Bajaj Pulsar 135 LS,2014,400,640,13700
Activa 4g,2017,400,510,1300
Honda CB Unicorn,2015,380,720,38600
Hero Honda CBZ extreme,2011,380,787,75000
Honda Karizma,2011,350,1050,30000
Honda Activa 125,2016,350,570,24000
TVS Jupyter,2014,350,520,19000
Honda Karizma,2010,310,1050,213000
Hero Honda Passion Pro,2012,300,510,60000
Hero Splender Plus,2016,300,480,50000
Honda CB Shine,2013,300,580,30000
Bajaj Discover 100,2013,270,470,21000
Bajaj Pulsar 150,2008,250,750,26000
Suzuki Access 125,2008,250,580,1900
TVS Wego,2010,250,520,22000
Honda CB twister,2013,250,510,32000
Hero Glamour,2013,250,570,18000
Hero Super Splendor,2005,200,570,55000
Bajaj Pulsar 150,2008,200,750,60000
Bajaj Discover 125,2012,200,570,25000
Hero Hunk,2007,200,750,49000
Hero  Ignitor Disc,2013,200,650,24000
Hero  CBZ Xtreme,2008,200,787,50000
Bajaj  ct 100,2015,180,320,35000
Activa 3g,2008,170,520,500000
Honda CB twister,2010,160,510,33000
Bajaj Discover 125,2011,150,570,35000
Honda CB Shine,2007,120,580,53000
Bajaj Pulsar 150,2006,100,750,92233
i20,2010,3250,6790,58000
grand i10,2015,4400,5700,28200
i10,2011,2950,4600,53460
eon,2015,2750,4430,28282
grand i10,2016,5250,5700,3493
xcent,2017,5750,7130,12479
grand i10,2015,5150,5700,34797
i20,2017,7900,8100,3435
grand i10,2015,4850,5700,21125
i10,2012,3100,4600,35775
elantra,2015,11750,14790,43535
creta,2016,11250,13600,22671
i20,2011,2900,6790,31604
grand i10,2017,5250,5700,20114
verna,2012,4500,9400,36100
eon,2016,2900,4430,12500
eon,2016,3150,4430,15000
verna,2014,6450,9400,45078
verna,2012,4500,9400,36000
eon,2017,3500,4430,38488
i20,2013,4500,6790,32000
i20,2014,6000,7600,77632
verna,2015,8250,9400,61381
verna,2013,5110,9400,36198
i10,2011,2700,4600,22517
grand i10,2015,5250,5700,24678
i10,2011,2550,4430,57000
verna,2012,4950,9400,60000
i20,2012,3100,6790,52132
verna,2013,6150,9400,45000
verna,2017,9250,9400,15001
elantra,2015,11450,14790,12900
grand i10,2013,3900,5700,53000
grand i10,2015,5500,5700,4492
verna,2017,9100,9400,15141
eon,2016,3100,4430,11849
creta,2015,11250,13600,68000
verna,2013,4800,9400,60241
eon,2012,2000,4430,23709
verna,2012,5350,9400,32322
xcent,2015,4750,7130,35866
xcent,2014,4400,7130,34000
i20,2016,6250,7600,7000
verna,2013,5950,9400,49000
verna,2012,5200,9400,71000
i20,2012,3750,6790,35000
verna,2015,5950,9400,36000
i10,2013,4000,4600,30000
i20,2016,5250,7600,17000
creta,2016,12900,13600,35934
city,2013,5000,9900,56701
brio,2015,5400,6820,31427
city,2014,7200,9900,48000
city,2013,5250,9900,54242
brio,2012,3000,5350,53675
city,2016,10250,13600,49562
city,2015,8500,13600,40324
city,2015,8400,13600,25000
amaze,2014,3900,7000,36054
city,2016,9150,13600,29223
brio,2016,5500,5970,5600
amaze,2015,4000,5800,40023
jazz,2016,6600,7700,16002
amaze,2015,4000,7000,40026
jazz,2017,6500,8700,21200
amaze,2014,3650,7000,35000
city,2016,8350,9400,19434
brio,2017,4800,5800,19000
city,2015,6700,10000,18828
city,2011,4100,10000,69341
city,2009,3000,10000,69562
city,2015,7500,10000,27600
jazz,2010,2250,7500,61203
brio,2014,5300,6800,16500
city,2016,10900,13600,30753
city,2015,8650,13600,24800
city,2015,9700,13600,21780
jazz,2016,6000,8400,4000
city,2014,6250,13600,40126
brio,2015,5250,5900,14465
city,2006,2100,7600,50456
city,2014,8250,14000,63000
city,2016,8990,11800,9010
brio,2013,3500,5900,9800
jazz,2016,7400,8500,15059
jazz,2016,5650,7900,28569
amaze,2015,5750,7500,44000
city,2015,8400,13600,34000
city,2016,10110,13600,10980
amaze,2014,4500,6400,19000
brio,2015,5400,6100,31427
jazz,2016,6400,8400,12000
city,2010,3250,9900,38000
amaze,2014,3750,6800,33019
city,2015,8550,13090,60076
city,2016,9500,11600,33988
brio,2015,4000,5900,60000
city,2009,3350,11000,87934
city,2017,11500,12500,9000
brio,2016,5300,5900,5464
